Fs,100
Logging Type,0
Initialization time,36.5
Waiting time,3
ax,ay,az,gx,gy,gz
-160,-788,14916,-431,128,-95
-256,-804,14972,-427,158,-97
-284,-824,14940,-444,129,-67
-112,-832,14952,-424,169,-84
-164,-884,14932,-432,133,-67
-156,-768,14880,-416,145,-87
-196,-784,14760,-436,154,-74
-188,-884,14932,-420,142,-62
-72,-880,14992,-428,148,-80
-240,-800,14876,-420,161,-87
-68,-852,14860,-431,157,-65
-76,-824,14936,-435,165,-78
-248,-776,14864,-414,186,-64
-176,-864,14888,-417,143,-72
-288,-784,14800,-430,161,-103
-248,-732,14868,-416,129,-76
-112,-868,14936,-432,150,-66
-196,-784,14780,-430,156,-71
-228,-856,14836,-443,164,-92
-96,-788,14784,-420,140,-94
-156,-740,14812,-432,180,-70
-116,-744,14840,-432,139,-65
-108,-816,14724,-450,141,-110
-72,-864,14924,-441,148,-102
-240,-824,14836,-444,149,-71
-116,-872,14832,-419,136,-70
-196,-868,14788,-428,168,-98
-208,-804,14920,-432,181,-77
-36,-892,14872,-425,146,-70
-84,-824,14716,-404,153,-81
-108,-784,14844,-423,144,-74
-120,-800,14776,-429,128,-79
-156,-820,14876,-424,147,-94
-184,-860,14900,-433,145,-84
-188,-772,14924,-423,139,-66
-148,-828,14904,-432,139,-96
-156,-904,14872,-439,150,-58
-152,-808,14896,-435,129,-85
-180,-728,14872,-429,134,-75
-120,-776,14772,-419,158,-83
-176,-736,14828,-421,168,-76
-44,-772,14920,-418,126,-88
-96,-772,14844,-420,137,-76
-188,-816,14896,-429,153,-63
-172,-860,14752,-427,152,-58
-156,-832,14888,-434,145,-75
-308,-860,14852,-421,154,-93
-176,-808,14928,-425,137,-86
-176,-892,14916,-437,136,-85
-204,-728,14908,-424,160,-98
-120,-800,14892,-424,152,-70
-120,-792,14892,-427,125,-92
-128,-820,15060,-429,160,-48
-84,-820,14920,-425,121,-90
-132,-812,14888,-423,138,-68
-204,-816,14760,-429,133,-75
-168,-856,14756,-435,151,-77
-160,-820,14964,-429,150,-101
-168,-848,14816,-420,127,-91
-156,-848,14764,-421,154,-46
-244,-840,14868,-412,149,-92
-168,-792,14976,-410,153,-80
-176,-768,14808,-414,153,-74
-144,-784,14832,-433,145,-95
-212,-756,14940,-445,149,-85
-172,-780,14804,-424,146,-69
-188,-840,14832,-420,124,-73
-160,-800,14792,-431,119,-98
-220,-776,14848,-429,145,-90
-192,-808,14944,-411,162,-95
-220,-828,14888,-428,146,-79
-188,-768,14868,-414,142,-73
-72,-872,14860,-435,151,-78
-100,-764,14716,-447,147,-99
-196,-744,14944,-414,160,-86
-156,-828,15012,-443,172,-83
-112,-772,14920,-419,139,-79
-240,-848,14960,-431,157,-86
-100,-816,14848,-438,162,-89
-292,-892,14848,-434,157,-93
-188,-800,14884,-444,162,-72
-196,-792,14908,-420,176,-64
-180,-832,14848,-411,142,-71
-140,-828,14808,-431,158,-93
-144,-868,14872,-431,163,-79
-260,-756,14908,-419,134,-103
-176,-832,14856,-416,158,-80
-20,-928,14888,-451,159,-96
-140,-796,14888,-440,150,-87
-240,-976,14856,-422,139,-76
-212,-780,14864,-407,154,-87
-120,-796,14888,-424,162,-77
-48,-852,14808,-433,147,-73
-164,-780,14984,-444,163,-67
-200,-748,14836,-428,175,-88
-256,-756,14820,-419,160,-89
-240,-780,14960,-428,125,-77
-164,-800,14796,-433,126,-68
-196,-780,14804,-444,158,-84
-240,-788,14880,-413,127,-82
-84,-896,14876,-422,127,-112
-212,-728,14856,-424,164,-68
-264,-820,14816,-427,167,-91
-232,-776,14880,-424,162,-79
-192,-780,14668,-421,172,-89
-116,-816,14852,-430,157,-82
-220,-776,14836,-431,145,-91
-244,-784,14916,-408,142,-75
-36,-812,14892,-420,113,-83
-172,-816,14916,-424,144,-75
-8,-836,14808,-426,145,-72
-124,-880,14916,-438,168,-66
-256,-716,14960,-418,151,-73
-156,-808,14816,-424,118,-84
-144,-828,14748,-432,128,-88
-284,-792,14908,-434,157,-92
-100,-728,14852,-442,148,-80
-116,-788,14996,-428,165,-68
-220,-736,14868,-422,139,-65
-172,-772,14820,-429,138,-78
-252,-768,14780,-411,173,-88
-112,-828,14924,-433,131,-86
-112,-800,14892,-443,176,-61
-252,-840,14900,-421,165,-85
-136,-800,14800,-422,174,-63
-236,-868,14896,-422,130,-78
-188,-836,14792,-431,145,-72
-108,-764,14852,-422,138,-70
-232,-900,14972,-418,164,-81
-144,-780,14900,-418,150,-91
-80,-740,14808,-424,164,-73
-164,-780,14860,-423,135,-75
-244,-780,14960,-445,175,-87
-84,-872,14896,-419,157,-103
-108,-836,14932,-439,159,-81
-240,-744,14844,-420,135,-80
-140,-812,14788,-435,155,-61
-204,-800,14856,-421,136,-97
-176,-688,14944,-426,139,-66
-160,-776,14812,-411,136,-80
-76,-868,14908,-425,161,-68
-116,-848,14812,-420,156,-86
-196,-784,14880,-445,175,-75
-148,-732,14904,-431,146,-87
-208,-720,14856,-436,162,-62
-204,-756,14764,-441,149,-92
